event_num,yr,start_idx,stop_idx,max_precip,t_global,x_idx,y_idx,x_coord,y_coord,total_acc,peak_position_ratio,d50,gini,time_based_std,dry_ratio,max_quartile_index,times,values,10cm_thr0.3_peak_value,10cm_thr0.3_threshold,10cm_thr0.3_threshold_mask,10cm_thr0.3_cluster_mask,10cm_thr0.3_neighbourhood_sum,10cm_thr0.3_fld_area_at_peak,10cm_thr0.3_fld_vol_at_peak,10cm_thr0.3_fld_area_under_threshold,10cm_thr0.3_fld_vol_under_threshold,10cm_thr0.3_fld_area_under_cluster,10cm_thr0.3_fld_vol_under_cluster,10cm_thr0.5_peak_value,10cm_thr0.5_threshold,10cm_thr0.5_threshold_mask,10cm_thr0.5_cluster_mask,10cm_thr0.5_neighbourhood_sum,10cm_thr0.5_fld_area_at_peak,10cm_thr0.5_fld_vol_at_peak,10cm_thr0.5_fld_area_under_threshold,10cm_thr0.5_fld_vol_under_threshold,10cm_thr0.5_fld_area_under_cluster,10cm_thr0.5_fld_vol_under_cluster,10cm_thr0.7_peak_value,10cm_thr0.7_threshold,10cm_thr0.7_threshold_mask,10cm_thr0.7_cluster_mask,10cm_thr0.7_neighbourhood_sum,10cm_thr0.7_fld_area_at_peak,10cm_thr0.7_fld_vol_at_peak,10cm_thr0.7_fld_area_under_threshold,10cm_thr0.7_fld_vol_under_threshold,10cm_thr0.7_fld_area_under_cluster,10cm_thr0.7_fld_vol_under_cluster,10cm_thr0.9_peak_value,10cm_thr0.9_threshold,10cm_thr0.9_threshold_mask,10cm_thr0.9_cluster_mask,10cm_thr0.9_neighbourhood_sum,10cm_thr0.9_fld_area_at_peak,10cm_thr0.9_fld_vol_at_peak,10cm_thr0.9_fld_area_under_threshold,10cm_thr0.9_fld_vol_under_threshold,10cm_thr0.9_fld_area_under_cluster,10cm_thr0.9_fld_vol_under_cluster,30cm_thr0.3_peak_value,30cm_thr0.3_threshold,30cm_thr0.3_threshold_mask,30cm_thr0.3_cluster_mask,30cm_thr0.3_neighbourhood_sum,30cm_thr0.3_fld_area_at_peak,30cm_thr0.3_fld_vol_at_peak,30cm_thr0.3_fld_area_under_threshold,30cm_thr0.3_fld_vol_under_threshold,30cm_thr0.3_fld_area_under_cluster,30cm_thr0.3_fld_vol_under_cluster,30cm_thr0.5_peak_value,30cm_thr0.5_threshold,30cm_thr0.5_threshold_mask,30cm_thr0.5_cluster_mask,30cm_thr0.5_neighbourhood_sum,30cm_thr0.5_fld_area_at_peak,30cm_thr0.5_fld_vol_at_peak,30cm_thr0.5_fld_area_under_threshold,30cm_thr0.5_fld_vol_under_threshold,30cm_thr0.5_fld_area_under_cluster,30cm_thr0.5_fld_vol_under_cluster,30cm_thr0.7_peak_value,30cm_thr0.7_threshold,30cm_thr0.7_threshold_mask,30cm_thr0.7_cluster_mask,30cm_thr0.7_neighbourhood_sum,30cm_thr0.7_fld_area_at_peak,30cm_thr0.7_fld_vol_at_peak,30cm_thr0.7_fld_area_under_threshold,30cm_thr0.7_fld_vol_under_threshold,30cm_thr0.7_fld_area_under_cluster,30cm_thr0.7_fld_vol_under_cluster,30cm_thr0.9_peak_value,30cm_thr0.9_threshold,30cm_thr0.9_threshold_mask,30cm_thr0.9_cluster_mask,30cm_thr0.9_neighbourhood_sum,30cm_thr0.9_fld_area_at_peak,30cm_thr0.9_fld_vol_at_peak,30cm_thr0.9_fld_area_under_threshold,30cm_thr0.9_fld_vol_under_threshold,30cm_thr0.9_fld_area_under_cluster,30cm_thr0.9_fld_vol_under_cluster,mean_sm_2_before_event,mean_sm_3_before_event,mean_sm_4_before_event,mean_sm_5_before_event,mean_sm_catchment,hc_at_peak,ensemble
2,1999,5180,5201,36.688148498535156,5183,70,140,152500.0,667500.0,72.49854,0.15,14.896157556326905,0.842602008453579,0.15719227957131574,19.047619047619047,0,"DatetimeIndex(['1999-07-06 20:00:00', '1999-07-06 21:00:00',
               '1999-07-06 22:00:00', '1999-07-06 23:00:00',
               '1999-07-07 00:00:00', '1999-07-07 01:00:00',
               '1999-07-07 02:00:00', '1999-07-07 03:00:00',
               '1999-07-07 04:00:00', '1999-07-07 05:00:00',
               '1999-07-07 06:00:00', '1999-07-07 07:00:00',
               '1999-07-07 08:00:00', '1999-07-07 09:00:00',
               '1999-07-07 10:00:00', '1999-07-07 11:00:00',
               '1999-07-07 12:00:00', '1999-07-07 13:00:00',
               '1999-07-07 14:00:00', '1999-07-07 15:00:00',
               '1999-07-07 16:00:00'],
              dtype='datetime64[ns]', freq=None)","[4.0137575e-06 7.6018489e-07 3.2307786e-01 3.6688148e+01 1.5744345e+01
 6.0468245e-01 1.9294753e-06 5.6868064e-01 5.1836771e-01 2.5185008e+00
 6.8979425e+00 6.9452887e+00 1.6796868e+00 5.3295307e-03 4.3022968e-03
 1.7052396e-04 4.2569332e-06 6.4131015e-08 1.0353034e-10 0.0000000e+00
 2.9447486e-11]",36.688148498535156,11.006444549560547,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",47.36334753036499,0.017999999225139618,6034.5,0.017999999225139618,6034.5,0.017999999225139618,6034.5,36.688148498535156,18.344074249267578,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",47.36334753036499,0.017999999225139618,6034.5,0.017999999225139618,6034.5,0.017999999225139618,6034.5,36.688148498535156,25.681703948974608,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",47.36334753036499,0.017999999225139618,6034.5,0.017999999225139618,6034.5,0.017999999225139618,6034.5,36.688148498535156,33.019333648681645,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",47.36334753036499,0.017999999225139618,6034.5,0.017999999225139618,6034.5,0.017999999225139618,6034.5,36.688148498535156,11.006444549560547,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",47.36334753036499,0.006300000008195639,3161.699951171875,0.006300000008195639,3161.699951171875,0.006300000008195639,3161.699951171875,36.688148498535156,18.344074249267578,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",47.36334753036499,0.006300000008195639,3161.699951171875,0.006300000008195639,3161.699951171875,0.006300000008195639,3161.699951171875,36.688148498535156,25.681703948974608,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",47.36334753036499,0.006300000008195639,3161.699951171875,0.006300000008195639,3161.699951171875,0.006300000008195639,3161.699951171875,36.688148498535156,33.019333648681645,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",47.36334753036499,0.006300000008195639,3161.699951171875,0.006300000008195639,3161.699951171875,0.006300000008195639,3161.699951171875,96.86400985717773,97.38257344563802,97.57118797302246,97.89605712890625,21.813377124184033,1.0736207962036133,07
1,1991,4952,4966,35.981544494628906,4954,78,133,192500.0,632500.0,44.208138,0.15384615384615385,11.921226906893155,0.8944755760655319,0.03263335948918746,50.0,0,"DatetimeIndex(['1991-06-27 08:00:00', '1991-06-27 09:00:00',
               '1991-06-27 10:00:00', '1991-06-27 11:00:00',
               '1991-06-27 12:00:00', '1991-06-27 13:00:00',
               '1991-06-27 14:00:00', '1991-06-27 15:00:00',
               '1991-06-27 16:00:00', '1991-06-27 17:00:00',
               '1991-06-27 18:00:00', '1991-06-27 19:00:00',
               '1991-06-27 20:00:00', '1991-06-27 21:00:00'],
              dtype='datetime64[ns]', freq=None)","[4.0569189e-06 2.3228676e+00 3.5981544e+01 5.9028740e+00 6.2776866e-07
 2.2973107e-07 8.1947826e-07 8.4432994e-04 2.0109806e-07 8.5379696e-08
 2.7305533e-11 0.0000000e+00 4.0656814e-12 2.0822631e-07]",35.981544494628906,10.794463348388671,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",36.47875366359949,0.008100000210106373,1504.7999267578125,0.00989999994635582,1782.89990234375,0.00989999994635582,1782.89990234375,35.981544494628906,17.990772247314453,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",36.47875366359949,0.008100000210106373,1504.7999267578125,0.00989999994635582,1782.89990234375,0.00989999994635582,1782.89990234375,35.981544494628906,25.18708114624023,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",36.47875366359949,0.008100000210106373,1504.7999267578125,0.00989999994635582,1782.89990234375,0.00989999994635582,1782.89990234375,35.981544494628906,32.38339004516602,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",36.47875366359949,0.008100000210106373,1504.7999267578125,0.008100000210106373,1504.7999267578125,0.008100000210106373,1504.7999267578125,35.981544494628906,10.794463348388671,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",36.47875366359949,0.0,0.0,0.0,0.0,0.0,0.0,35.981544494628906,17.990772247314453,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",36.47875366359949,0.0,0.0,0.0,0.0,0.0,0.0,35.981544494628906,25.18708114624023,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",36.47875366359949,0.0,0.0,0.0,0.0,0.0,0.0,35.981544494628906,32.38339004516602,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",36.47875366359949,0.0,0.0,0.0,0.0,0.0,0.0,82.18713760375977,81.37699890136719,78.8163070678711,77.3918685913086,22.33452823463359,1.073532223701477,07
