event_num,yr,start_idx,stop_idx,max_precip,t_global,x_idx,y_idx,x_coord,y_coord,total_acc,peak_position_ratio,d50,gini,time_based_std,dry_ratio,max_quartile_index,times,values,"(10, 0.3, 'peak_value')","(10, 0.3, 'threshold')","(10, 0.3, 'neighbourhood_sum')","(10, 0.3, 'fld_area_at_peak')","(10, 0.3, 'fld_vol_at_peak')","(10, 0.3, 'fld_area_under_threshold')","(10, 0.3, 'fld_area_under_cluster')","(10, 0.3, 'fld_vol_under_threshold')","(10, 0.3, 'fld_vol_under_cluster')","(10, 0.5, 'peak_value')","(10, 0.5, 'threshold')","(10, 0.5, 'neighbourhood_sum')","(10, 0.5, 'fld_area_at_peak')","(10, 0.5, 'fld_vol_at_peak')","(10, 0.5, 'fld_area_under_threshold')","(10, 0.5, 'fld_area_under_cluster')","(10, 0.5, 'fld_vol_under_threshold')","(10, 0.5, 'fld_vol_under_cluster')","(10, 0.7, 'peak_value')","(10, 0.7, 'threshold')","(10, 0.7, 'neighbourhood_sum')","(10, 0.7, 'fld_area_at_peak')","(10, 0.7, 'fld_vol_at_peak')","(10, 0.7, 'fld_area_under_threshold')","(10, 0.7, 'fld_area_under_cluster')","(10, 0.7, 'fld_vol_under_threshold')","(10, 0.7, 'fld_vol_under_cluster')","(10, 0.9, 'peak_value')","(10, 0.9, 'threshold')","(10, 0.9, 'neighbourhood_sum')","(10, 0.9, 'fld_area_at_peak')","(10, 0.9, 'fld_vol_at_peak')","(10, 0.9, 'fld_area_under_threshold')","(10, 0.9, 'fld_area_under_cluster')","(10, 0.9, 'fld_vol_under_threshold')","(10, 0.9, 'fld_vol_under_cluster')","(30, 0.3, 'peak_value')","(30, 0.3, 'threshold')","(30, 0.3, 'neighbourhood_sum')","(30, 0.3, 'fld_area_at_peak')","(30, 0.3, 'fld_vol_at_peak')","(30, 0.3, 'fld_area_under_threshold')","(30, 0.3, 'fld_area_under_cluster')","(30, 0.3, 'fld_vol_under_threshold')","(30, 0.3, 'fld_vol_under_cluster')","(30, 0.5, 'peak_value')","(30, 0.5, 'threshold')","(30, 0.5, 'neighbourhood_sum')","(30, 0.5, 'fld_area_at_peak')","(30, 0.5, 'fld_vol_at_peak')","(30, 0.5, 'fld_area_under_threshold')","(30, 0.5, 'fld_area_under_cluster')","(30, 0.5, 'fld_vol_under_threshold')","(30, 0.5, 'fld_vol_under_cluster')","(30, 0.7, 'peak_value')","(30, 0.7, 'threshold')","(30, 0.7, 'neighbourhood_sum')","(30, 0.7, 'fld_area_at_peak')","(30, 0.7, 'fld_vol_at_peak')","(30, 0.7, 'fld_area_under_threshold')","(30, 0.7, 'fld_area_under_cluster')","(30, 0.7, 'fld_vol_under_threshold')","(30, 0.7, 'fld_vol_under_cluster')","(30, 0.9, 'peak_value')","(30, 0.9, 'threshold')","(30, 0.9, 'neighbourhood_sum')","(30, 0.9, 'fld_area_at_peak')","(30, 0.9, 'fld_vol_at_peak')","(30, 0.9, 'fld_area_under_threshold')","(30, 0.9, 'fld_area_under_cluster')","(30, 0.9, 'fld_vol_under_threshold')","(30, 0.9, 'fld_vol_under_cluster')",mean_sm_2_before_event,mean_sm_3_before_event,mean_sm_4_before_event,mean_sm_5_before_event,mean_sm_catchment,hc_at_peak,ensemble
2,2006,7399,7413,34.10820007324219,7402,88,79,242500.0,362500.0,58.05155,0.23076923076923078,21.04646238573897,0.7588020085440905,0.11210356547785227,0.0,0,"DatetimeIndex(['2006-10-09 07:00:00', '2006-10-09 08:00:00',
               '2006-10-09 09:00:00', '2006-10-09 10:00:00',
               '2006-10-09 11:00:00', '2006-10-09 12:00:00',
               '2006-10-09 13:00:00', '2006-10-09 14:00:00',
               '2006-10-09 15:00:00', '2006-10-09 16:00:00',
               '2006-10-09 17:00:00', '2006-10-09 18:00:00',
               '2006-10-09 19:00:00', '2006-10-09 20:00:00'],
              dtype='datetime64[ns]', freq=None)","[8.7457490e-01 5.3584421e-01 2.5103548e+00 3.4108200e+01 9.2423096e+00
 3.7323453e+00 2.8366487e+00 2.3189940e+00 1.7683543e+00 1.2391660e-01
 1.2760477e-06 6.6167722e-06 3.3013189e-06 1.7281091e-06]",34.10820007324219,10.232460021972656,61.61772155761719,0.49140000343322754,124125.296875,1.1295000314712524,1.1295000314712524,265733.96875,265733.96875,34.10820007324219,17.054100036621094,61.61772155761719,0.49140000343322754,124125.296875,1.1151000261306763,1.1151000261306763,263238.28125,263238.28125,34.10820007324219,23.87574005126953,61.61772155761719,0.49140000343322754,124125.296875,0.759600043296814,0.759600043296814,178441.1875,178441.1875,34.10820007324219,30.69738006591797,61.61772155761719,0.49140000343322754,124125.296875,0.49140000343322754,0.49140000343322754,124125.296875,124125.296875,34.10820007324219,10.232460021972656,61.61772155761719,0.09539999812841415,44923.5,0.1736999899148941,0.1736999899148941,82022.3984375,82022.3984375,34.10820007324219,17.054100036621094,61.61772155761719,0.09539999812841415,44923.5,0.1736999899148941,0.1736999899148941,82022.3984375,82022.3984375,34.10820007324219,23.87574005126953,61.61772155761719,0.09539999812841415,44923.5,0.12150000035762787,0.12150000035762787,56740.5,56740.5,34.10820007324219,30.69738006591797,61.61772155761719,0.09539999812841415,44923.5,0.09539999812841415,0.09539999812841415,44923.5,44923.5,78.84681701660156,79.7124760945638,80.21124649047852,81.11324768066406,22.17616196477891,0.33534055948257446,06
5,2021,5002,5015,32.75296401977539,5007,89,82,247500.0,377500.0,53.429867,0.4166666666666667,37.00612820537005,0.8210942344489995,0.1771956709632826,30.76923076923077,1,"DatetimeIndex(['2021-06-29 10:00:00', '2021-06-29 11:00:00',
               '2021-06-29 12:00:00', '2021-06-29 13:00:00',
               '2021-06-29 14:00:00', '2021-06-29 15:00:00',
               '2021-06-29 16:00:00', '2021-06-29 17:00:00',
               '2021-06-29 18:00:00', '2021-06-29 19:00:00',
               '2021-06-29 20:00:00', '2021-06-29 21:00:00',
               '2021-06-29 22:00:00'],
              dtype='datetime64[ns]', freq=None)","[9.4097404e+00 2.6904187e+00 8.6039983e-02 3.1728879e-02 6.1616391e-02
 3.2752964e+01 8.3285856e+00 6.8768792e-02 4.8159194e-07 1.6420852e-07
 3.8548714e-07 2.5042931e-07 3.8464727e-06]",32.75296401977539,9.825889587402344,72.9932861328125,0.6444000005722046,179383.5,2.0204999446868896,2.0204999446868896,530462.6875,530462.6875,32.75296401977539,16.376482009887695,72.9932861328125,0.6444000005722046,179383.5,1.7684999704360962,1.7684999704360962,473959.8125,473959.8125,32.75296401977539,22.927074432373047,72.9932861328125,0.6444000005722046,179383.5,1.7684999704360962,1.7684999704360962,473959.8125,473959.8125,32.75296401977539,29.4776668548584,72.9932861328125,0.6444000005722046,179383.5,0.6444000005722046,0.6444000005722046,179383.5,179383.5,32.75296401977539,9.825889587402344,72.9932861328125,0.15209999680519104,81884.703125,0.41850000619888306,0.41850000619888306,216342.90625,216342.90625,32.75296401977539,16.376482009887695,72.9932861328125,0.15209999680519104,81884.703125,0.3905999958515167,0.3905999958515167,201247.203125,201247.203125,32.75296401977539,22.927074432373047,72.9932861328125,0.15209999680519104,81884.703125,0.3905999958515167,0.3905999958515167,201247.203125,201247.203125,32.75296401977539,29.4776668548584,72.9932861328125,0.15209999680519104,81884.703125,0.15209999680519104,0.15209999680519104,81884.703125,81884.703125,67.83820343017578,68.53982543945312,69.36301612854004,69.06346435546875,20.01036290087335,0.31045371294021606,06
1,2000,5450,5469,34.85687255859375,5458,88,85,242500.0,392500.0,40.8394,0.4444444444444444,41.3357904117067,0.9285951127064522,0.024798569981701685,42.10526315789473,1,"DatetimeIndex(['2000-07-18 02:00:00', '2000-07-18 03:00:00',
               '2000-07-18 04:00:00', '2000-07-18 05:00:00',
               '2000-07-18 06:00:00', '2000-07-18 07:00:00',
               '2000-07-18 08:00:00', '2000-07-18 09:00:00',
               '2000-07-18 10:00:00', '2000-07-18 11:00:00',
               '2000-07-18 12:00:00', '2000-07-18 13:00:00',
               '2000-07-18 14:00:00', '2000-07-18 15:00:00',
               '2000-07-18 16:00:00', '2000-07-18 17:00:00',
               '2000-07-18 18:00:00', '2000-07-18 19:00:00',
               '2000-07-18 20:00:00'],
              dtype='datetime64[ns]', freq=None)","[1.4766955e-02 2.7484430e-02 4.6697411e-07 3.5414178e-07 6.8050781e-07
 5.4058000e-07 1.1749935e-01 4.9075084e+00 3.4856873e+01 9.1297013e-01
 8.2908861e-07 2.0924015e-05 2.5372302e-07 2.2730243e-03 1.2242958e-07
 1.8688863e-07 6.4839192e-08 1.5013728e-07 3.4334587e-07]",34.85687255859375,10.457061767578125,34.892669677734375,0.5751000046730042,184874.40625,0.5751000046730042,0.5751000046730042,184874.40625,184874.40625,34.85687255859375,17.428436279296875,34.892669677734375,0.5751000046730042,184874.40625,0.5751000046730042,0.5751000046730042,184874.40625,184874.40625,34.85687255859375,24.399810791015625,34.892669677734375,0.5751000046730042,184874.40625,0.5751000046730042,0.5751000046730042,184874.40625,184874.40625,34.85687255859375,31.371185302734375,34.892669677734375,0.5751000046730042,184874.40625,0.5751000046730042,0.5751000046730042,184874.40625,184874.40625,34.85687255859375,10.457061767578125,34.892669677734375,0.18449999392032623,95831.1015625,0.18449999392032623,0.18449999392032623,95831.1015625,95831.1015625,34.85687255859375,17.428436279296875,34.892669677734375,0.18449999392032623,95831.1015625,0.18449999392032623,0.18449999392032623,95831.1015625,95831.1015625,34.85687255859375,24.399810791015625,34.892669677734375,0.18449999392032623,95831.1015625,0.18449999392032623,0.18449999392032623,95831.1015625,95831.1015625,34.85687255859375,31.371185302734375,34.892669677734375,0.18449999392032623,95831.1015625,0.18449999392032623,0.18449999392032623,95831.1015625,95831.1015625,75.0644416809082,72.50234731038411,69.75717639923096,67.71355743408203,21.963308365812935,0.30872833728790283,06
3,2014,5988,6029,36.68866729736328,6010,89,85,247500.0,392500.0,49.644356,0.55,53.43954681016796,0.9349658493600859,0.16923555674673427,12.195121951219512,2,"DatetimeIndex(['2014-08-10 12:00:00', '2014-08-10 13:00:00',
               '2014-08-10 14:00:00', '2014-08-10 15:00:00',
               '2014-08-10 16:00:00', '2014-08-10 17:00:00',
               '2014-08-10 18:00:00', '2014-08-10 19:00:00',
               '2014-08-10 20:00:00', '2014-08-10 21:00:00',
               '2014-08-10 22:00:00', '2014-08-10 23:00:00',
               '2014-08-11 00:00:00', '2014-08-11 01:00:00',
               '2014-08-11 02:00:00', '2014-08-11 03:00:00',
               '2014-08-11 04:00:00', '2014-08-11 05:00:00',
               '2014-08-11 06:00:00', '2014-08-11 07:00:00',
               '2014-08-11 08:00:00', '2014-08-11 09:00:00',
               '2014-08-11 10:00:00', '2014-08-11 11:00:00',
               '2014-08-11 12:00:00', '2014-08-11 13:00:00',
               '2014-08-11 14:00:00', '2014-08-11 15:00:00',
               '2014-08-11 16:00:00', '2014-08-11 17:00:00',
               '2014-08-11 18:00:00', '2014-08-11 19:00:00',
               '2014-08-11 20:00:00', '2014-08-11 21:00:00',
               '2014-08-11 22:00:00', '2014-08-11 23:00:00',
               '2014-08-12 00:00:00', '2014-08-12 01:00:00',
               '2014-08-12 02:00:00', '2014-08-12 03:00:00',
               '2014-08-12 04:00:00'],
              dtype='datetime64[ns]', freq=None)","[9.26642201e-07 2.74995995e+00 4.04339289e-06 2.49410248e+00
 1.62636445e-06 2.59832473e-06 4.05172023e-06 2.26996511e-01
 8.74646048e-06 5.52541390e-03 2.83942437e+00 1.73365250e-01
 4.86297813e-06 3.15397585e-07 4.10938384e-07 4.38178144e-03
 1.90717983e+00 5.93761802e-01 1.11310953e-06 4.32739938e-07
 5.38425354e-07 3.91635299e-02 3.66886673e+01 1.64669371e+00
 1.05091596e-04 4.99275643e-07 6.90089507e-07 1.50262553e-04
 5.11004998e-07 3.70498192e-08 6.25719338e-07 7.48582181e-07
 5.35235188e-07 6.48111325e-07 5.80359085e-07 1.20093966e-06
 2.58995965e-06 1.09241150e-01 1.65600762e-01 1.58668604e-06
 1.03337425e-06]",36.68866729736328,11.006600379943848,52.672279357910156,0.4032000005245209,129636.8984375,1.207800030708313,1.207800030708313,388933.21875,388933.21875,36.68866729736328,18.34433364868164,52.672279357910156,0.4032000005245209,129636.8984375,0.9621000289916992,0.9621000289916992,311370.3125,311370.3125,36.68866729736328,25.682065963745117,52.672279357910156,0.4032000005245209,129636.8984375,0.9621000289916992,0.9621000289916992,311370.3125,311370.3125,36.68866729736328,33.019798278808594,52.672279357910156,0.4032000005245209,129636.8984375,0.4032000005245209,0.4032000005245209,129636.8984375,129636.8984375,36.68866729736328,11.006600379943848,52.672279357910156,0.10350000113248825,70863.296875,0.33390000462532043,0.33390000462532043,200195.09375,200195.09375,36.68866729736328,18.34433364868164,52.672279357910156,0.10350000113248825,70863.296875,0.28619998693466187,0.28619998693466187,170008.1875,170008.1875,36.68866729736328,25.682065963745117,52.672279357910156,0.10350000113248825,70863.296875,0.28619998693466187,0.28619998693466187,170008.1875,170008.1875,36.68866729736328,33.019798278808594,52.672279357910156,0.10350000113248825,70863.296875,0.10350000113248825,0.10350000113248825,70863.296875,70863.296875,61.11067199707031,60.93157450358073,60.97825241088867,61.13400497436523,21.303546118374733,0.3083402216434479,06
8,2032,7017,7035,39.065547943115234,7018,88,82,242500.0,377500.0,54.032547,0.058823529411764705,3.732081442636864,0.8689454637648177,0.0698013190695357,22.22222222222222,0,"DatetimeIndex(['2032-09-23 09:00:00', '2032-09-23 10:00:00',
               '2032-09-23 11:00:00', '2032-09-23 12:00:00',
               '2032-09-23 13:00:00', '2032-09-23 14:00:00',
               '2032-09-23 15:00:00', '2032-09-23 16:00:00',
               '2032-09-23 17:00:00', '2032-09-23 18:00:00',
               '2032-09-23 19:00:00', '2032-09-23 20:00:00',
               '2032-09-23 21:00:00', '2032-09-23 22:00:00',
               '2032-09-23 23:00:00', '2032-09-24 00:00:00',
               '2032-09-24 01:00:00', '2032-09-24 02:00:00'],
              dtype='datetime64[ns]', freq=None)","[2.2309866e+00 3.9065548e+01 4.9889474e+00 3.8002858e+00 2.4769835e+00
 1.0653592e+00 9.0536105e-07 6.3338700e-07 3.1137066e-07 3.8767889e-01
 1.6690860e-02 1.8216463e-06 5.3620966e-05 6.5184058e-10 0.0000000e+00
 1.4527280e-06 4.8116317e-06 1.0529232e-07]",39.065547943115234,11.719664573669434,176.6084442138672,0.6758999824523926,181698.296875,5.021999835968018,5.021999835968018,1262826.0,1262826.0,39.065547943115234,19.532773971557617,176.6084442138672,0.6758999824523926,181698.296875,3.6449999809265137,3.6449999809265137,944391.625,944391.625,39.065547943115234,27.345882415771484,176.6084442138672,0.6758999824523926,181698.296875,2.7314999103546143,2.7314999103546143,723517.1875,723517.1875,39.065547943115234,35.158992767333984,176.6084442138672,0.6758999824523926,181698.296875,0.6758999824523926,0.6758999824523926,181698.296875,181698.296875,39.065547943115234,11.719664573669434,176.6084442138672,0.1403999924659729,75286.796875,0.9845999479293823,0.9845999479293823,490740.28125,490740.28125,39.065547943115234,19.532773971557617,176.6084442138672,0.1403999924659729,75286.796875,0.7803000211715698,0.7803000211715698,396102.59375,396102.59375,39.065547943115234,27.345882415771484,176.6084442138672,0.1403999924659729,75286.796875,0.6020999550819397,0.6020999550819397,310350.625,310350.625,39.065547943115234,35.158992767333984,176.6084442138672,0.1403999924659729,75286.796875,0.1403999924659729,0.1403999924659729,75286.796875,75286.796875,54.644208908081055,54.60688781738281,54.47017288208008,54.26078109741211,20.876727427028136,0.3229771554470062,06
6,2029,5841,5852,30.95632553100586,5845,88,80,242500.0,367500.0,39.874996,0.4,33.58303632774798,0.8660470771823658,0.04901956168364599,18.181818181818183,1,"DatetimeIndex(['2029-08-04 09:00:00', '2029-08-04 10:00:00',
               '2029-08-04 11:00:00', '2029-08-04 12:00:00',
               '2029-08-04 13:00:00', '2029-08-04 14:00:00',
               '2029-08-04 15:00:00', '2029-08-04 16:00:00',
               '2029-08-04 17:00:00', '2029-08-04 18:00:00',
               '2029-08-04 19:00:00'],
              dtype='datetime64[ns]', freq=None)","[8.7637138e-03 3.4918910e-01 4.2552185e-07 8.4877815e+00 3.0956326e+01
 7.2935075e-02 8.5393754e-07 2.2744497e-07 1.8624844e-06 1.3647970e-06
 8.3901881e-07]",30.95632553100586,9.286897659301758,44.551944732666016,0.48240000009536743,94780.796875,0.5615999698638916,0.5615999698638916,110602.796875,110602.796875,30.95632553100586,15.47816276550293,44.551944732666016,0.48240000009536743,94780.796875,0.5516999959945679,0.5516999959945679,108935.09375,108935.09375,30.95632553100586,21.6694278717041,44.551944732666016,0.48240000009536743,94780.796875,0.48240000009536743,0.48240000009536743,94780.796875,94780.796875,30.95632553100586,27.860692977905273,44.551944732666016,0.48240000009536743,94780.796875,0.48240000009536743,0.48240000009536743,94780.796875,94780.796875,30.95632553100586,9.286897659301758,44.551944732666016,0.04320000112056732,19762.19921875,0.047700002789497375,0.047700002789497375,22656.599609375,22656.599609375,30.95632553100586,15.47816276550293,44.551944732666016,0.04320000112056732,19762.19921875,0.047700002789497375,0.047700002789497375,22656.599609375,22656.599609375,30.95632553100586,21.6694278717041,44.551944732666016,0.04320000112056732,19762.19921875,0.04320000112056732,0.04320000112056732,19762.19921875,19762.19921875,30.95632553100586,27.860692977905273,44.551944732666016,0.04320000112056732,19762.19921875,0.04320000112056732,0.04320000112056732,19762.19921875,19762.19921875,58.15264129638672,58.52196248372396,58.906822204589844,59.23727798461914,20.443098259341305,0.32265689969062805,06
7,2029,5866,5875,31.36915397644043,5867,84,83,222500.0,382500.0,31.880173,0.125,6.350976551899264,0.8852901641215727,0.015775637827911238,11.11111111111111,0,"DatetimeIndex(['2029-08-05 10:00:00', '2029-08-05 11:00:00',
               '2029-08-05 12:00:00', '2029-08-05 13:00:00',
               '2029-08-05 14:00:00', '2029-08-05 15:00:00',
               '2029-08-05 16:00:00', '2029-08-05 17:00:00',
               '2029-08-05 18:00:00'],
              dtype='datetime64[ns]', freq=None)","[2.1056468e-03 3.1369154e+01 5.0734532e-01 1.5645263e-03 4.7096637e-07
 6.2914955e-07 5.4130732e-07 7.5382383e-07 2.4928634e-06]",31.36915397644043,9.410746574401855,15.878427505493164,0.262800008058548,79696.796875,0.30959999561309814,0.30059999227523804,87910.1953125,86516.09375,31.36915397644043,15.684576988220215,15.878427505493164,0.262800008058548,79696.796875,0.30059999227523804,0.30059999227523804,86516.09375,86516.09375,31.36915397644043,21.95840835571289,15.878427505493164,0.262800008058548,79696.796875,0.262800008058548,0.262800008058548,79696.796875,79696.796875,31.36915397644043,28.23223876953125,15.878427505493164,0.262800008058548,79696.796875,0.262800008058548,0.262800008058548,79696.796875,79696.796875,31.36915397644043,9.410746574401855,15.878427505493164,0.07559999823570251,42193.80078125,0.07739999890327454,0.07739999890327454,42755.40234375,42755.40234375,31.36915397644043,15.684576988220215,15.878427505493164,0.07559999823570251,42193.80078125,0.07739999890327454,0.07739999890327454,42755.40234375,42755.40234375,31.36915397644043,21.95840835571289,15.878427505493164,0.07559999823570251,42193.80078125,0.07559999823570251,0.07559999823570251,42193.80078125,42193.80078125,31.36915397644043,28.23223876953125,15.878427505493164,0.07559999823570251,42193.80078125,0.07559999823570251,0.07559999823570251,42193.80078125,42193.80078125,51.741220474243164,51.82892100016276,51.920281410217285,52.01337432861328,20.466893530298016,0.2716756761074066,06
4,2017,5883,5903,43.44598388671875,5892,88,82,242500.0,377500.0,52.535305,0.47368421052631576,45.00500633364271,0.9239792314109492,0.026498664939423856,25.0,1,"DatetimeIndex(['2017-08-06 03:00:00', '2017-08-06 04:00:00',
               '2017-08-06 05:00:00', '2017-08-06 06:00:00',
               '2017-08-06 07:00:00', '2017-08-06 08:00:00',
               '2017-08-06 09:00:00', '2017-08-06 10:00:00',
               '2017-08-06 11:00:00', '2017-08-06 12:00:00',
               '2017-08-06 13:00:00', '2017-08-06 14:00:00',
               '2017-08-06 15:00:00', '2017-08-06 16:00:00',
               '2017-08-06 17:00:00', '2017-08-06 18:00:00',
               '2017-08-06 19:00:00', '2017-08-06 20:00:00',
               '2017-08-06 21:00:00', '2017-08-06 22:00:00'],
              dtype='datetime64[ns]', freq=None)","[2.4907868e-06 7.7037623e-07 5.9956767e-07 2.6935720e-07 2.6855698e-06
 2.2018480e-06 3.6211750e-07 3.9526936e-02 2.2914982e+00 4.3445984e+01
 5.8855581e+00 6.3507813e-01 1.0837893e-01 1.2926964e-01 7.3265852e-07
 7.4822805e-07 1.7298454e-06 3.2784129e-07 2.5237949e-07 9.0073797e-08]",43.44598388671875,13.033795356750488,108.23294067382812,0.8540999889373779,237525.296875,3.4235997200012207,3.4235997200012207,1050472.75,1050472.75,43.44598388671875,21.722991943359375,108.23294067382812,0.8540999889373779,237525.296875,2.6477997303009033,2.6477997303009033,814056.3125,814056.3125,43.44598388671875,30.412187576293945,108.23294067382812,0.8540999889373779,237525.296875,2.2301998138427734,2.2301998138427734,694338.3125,694338.3125,43.44598388671875,39.101383209228516,108.23294067382812,0.8540999889373779,237525.296875,2.2301998138427734,2.2301998138427734,694338.3125,694338.3125,43.44598388671875,13.033795356750488,108.23294067382812,0.18449999392032623,100079.1015625,1.0619999170303345,1.0619999170303345,580203.0,580203.0,43.44598388671875,21.722991943359375,108.23294067382812,0.18449999392032623,100079.1015625,0.8018999695777893,0.8018999695777893,443927.6875,443927.6875,43.44598388671875,30.412187576293945,108.23294067382812,0.18449999392032623,100079.1015625,0.6911999583244324,0.6911999583244324,384362.09375,384362.09375,43.44598388671875,39.101383209228516,108.23294067382812,0.18449999392032623,100079.1015625,0.6911999583244324,0.6911999583244324,384362.09375,384362.09375,59.76486587524414,59.24557113647461,58.11783981323242,57.498190307617186,19.580075370299145,0.3229771554470062,06
9,2035,5818,5829,30.30965232849121,5820,87,85,237500.0,392500.0,41.078148,0.2,13.908805031954598,0.8254407502322019,0.07996572709742873,18.181818181818183,0,"DatetimeIndex(['2035-08-03 10:00:00', '2035-08-03 11:00:00',
               '2035-08-03 12:00:00', '2035-08-03 13:00:00',
               '2035-08-03 14:00:00', '2035-08-03 15:00:00',
               '2035-08-03 16:00:00', '2035-08-03 17:00:00',
               '2035-08-03 18:00:00', '2035-08-03 19:00:00',
               '2035-08-03 20:00:00'],
              dtype='datetime64[ns]', freq=None)","[5.2582440e+00 3.4333785e+00 3.0309652e+01 1.6187651e+00 4.0213159e-01
 1.1642516e-03 3.4137398e-02 1.9613394e-07 3.2958152e-07 1.5476523e-02
 5.1974794e-03]",30.30965232849121,9.092896461486816,47.85212707519531,0.564300000667572,175647.59375,1.2770999670028687,1.2770999670028687,391443.3125,391443.3125,30.30965232849121,15.154826164245605,47.85212707519531,0.564300000667572,175647.59375,1.2770999670028687,1.2770999670028687,391443.3125,391443.3125,30.30965232849121,21.21675682067871,47.85212707519531,0.564300000667572,175647.59375,1.1141999959945679,1.1141999959945679,351670.5,351670.5,30.30965232849121,27.2786865234375,47.85212707519531,0.564300000667572,175647.59375,0.564300000667572,0.564300000667572,175647.59375,175647.59375,30.30965232849121,9.092896461486816,47.85212707519531,0.19529999792575836,99616.5,0.40679997205734253,0.40679997205734253,212165.09375,212165.09375,30.30965232849121,15.154826164245605,47.85212707519531,0.19529999792575836,99616.5,0.40679997205734253,0.40679997205734253,212165.09375,212165.09375,30.30965232849121,21.21675682067871,47.85212707519531,0.19529999792575836,99616.5,0.3725999891757965,0.3725999891757965,196263.0,196263.0,30.30965232849121,27.2786865234375,47.85212707519531,0.19529999792575836,99616.5,0.19529999792575836,0.19529999792575836,99616.5,99616.5,60.84538269042969,61.10095723470052,61.38743209838867,61.69083023071289,21.211436233993872,0.32089096307754517,06
10,2035,6707,6719,33.4663200378418,6709,89,84,247500.0,387500.0,43.27718,0.18181818181818182,14.580162050573882,0.8572918771885314,0.0548325037800796,25.0,0,"DatetimeIndex(['2035-09-10 11:00:00', '2035-09-10 12:00:00',
               '2035-09-10 13:00:00', '2035-09-10 14:00:00',
               '2035-09-10 15:00:00', '2035-09-10 16:00:00',
               '2035-09-10 17:00:00', '2035-09-10 18:00:00',
               '2035-09-10 19:00:00', '2035-09-10 20:00:00',
               '2035-09-10 21:00:00', '2035-09-10 22:00:00'],
              dtype='datetime64[ns]', freq=None)","[1.6447419e-05 1.4310129e+00 3.3466320e+01 6.2442923e+00 1.8358915e+00
 2.9003227e-01 9.6113505e-03 8.9621388e-08 4.6117602e-08 8.4650077e-07
 7.0863024e-07 4.2127118e-07]",33.4663200378418,10.039896011352539,66.63336181640625,0.2789999842643738,94991.3984375,0.5138999819755554,0.5138999819755554,152343.0,152343.0,33.4663200378418,16.7331600189209,66.63336181640625,0.2789999842643738,94991.3984375,0.296099990606308,0.296099990606308,97965.0,97965.0,33.4663200378418,23.426424026489258,66.63336181640625,0.2789999842643738,94991.3984375,0.2789999842643738,0.2789999842643738,94991.3984375,94991.3984375,33.4663200378418,30.119688034057617,66.63336181640625,0.2789999842643738,94991.3984375,0.2789999842643738,0.2789999842643738,94991.3984375,94991.3984375,33.4663200378418,10.039896011352539,66.63336181640625,0.07109999656677246,43220.69921875,0.09269999712705612,0.09269999712705612,58505.3984375,58505.3984375,33.4663200378418,16.7331600189209,66.63336181640625,0.07109999656677246,43220.69921875,0.07109999656677246,0.07109999656677246,43220.69921875,43220.69921875,33.4663200378418,23.426424026489258,66.63336181640625,0.07109999656677246,43220.69921875,0.07109999656677246,0.07109999656677246,43220.69921875,43220.69921875,33.4663200378418,30.119688034057617,66.63336181640625,0.07109999656677246,43220.69921875,0.07109999656677246,0.07109999656677246,43220.69921875,43220.69921875,61.84691619873047,61.389320373535156,60.123108863830566,59.25831069946289,21.94971951348317,0.32749634981155396,06
